gillnet_pair,animal_type,exp_unit,bpue
22,total_secondary_fish_bpue,control,0
23,total_secondary_fish_bpue,control,3.7
24,total_secondary_fish_bpue,control,0.98
25,total_secondary_fish_bpue,control,0
26,total_secondary_fish_bpue,control,0
27,total_secondary_fish_bpue,control,13.69
28,total_secondary_fish_bpue,control,0
1,total_secondary_fish_bpue,illuminated,1.33
2,total_secondary_fish_bpue,illuminated,0
3,total_secondary_fish_bpue,illuminated,0
4,total_secondary_fish_bpue,illuminated,0
5,total_secondary_fish_bpue,illuminated,0
6,total_secondary_fish_bpue,illuminated,0.95
7,total_secondary_fish_bpue,illuminated,0
8,total_secondary_fish_bpue,illuminated,0
9,total_secondary_fish_bpue,illuminated,0
10,total_secondary_fish_bpue,illuminated,1.1
11,total_secondary_fish_bpue,illuminated,3.11
12,total_secondary_fish_bpue,illuminated,0
13,total_secondary_fish_bpue,illuminated,0
14,total_secondary_fish_bpue,illuminated,0
15,total_secondary_fish_bpue,illuminated,0
16,total_secondary_fish_bpue,illuminated,1.82
17,total_secondary_fish_bpue,illuminated,0
18,total_secondary_fish_bpue,illuminated,0.44
19,total_secondary_fish_bpue,illuminated,0
20,total_secondary_fish_bpue,illuminated,0
21,total_secondary_fish_bpue,illuminated,0
22,total_secondary_fish_bpue,illuminated,7.98
23,total_secondary_fish_bpue,illuminated,1.14
24,total_secondary_fish_bpue,illuminated,0
25,total_secondary_fish_bpue,illuminated,0
26,total_secondary_fish_bpue,illuminated,0
27,total_secondary_fish_bpue,illuminated,5.83
28,total_secondary_fish_bpue,illuminated,0
1,market_value_fish_mvpue,control,0
2,market_value_fish_mvpue,control,0
3,market_value_fish_mvpue,control,0
4,market_value_fish_mvpue,control,0
5,market_value_fish_mvpue,control,0
6,market_value_fish_mvpue,control,0
7,market_value_fish_mvpue,control,0
8,market_value_fish_mvpue,control,0
9,market_value_fish_mvpue,control,0
10,market_value_fish_mvpue,control,4.13
11,market_value_fish_mvpue,control,17.42
12,market_value_fish_mvpue,control,2.32
13,market_value_fish_mvpue,control,0
14,market_value_fish_mvpue,control,0.59
15,market_value_fish_mvpue,control,0
